Question,Subj_Q,Answer,Subj_A
كطالبة اخراج هل اشتري جهاز Pc ام يمكن المونتاج على الايباد   الايباد اسهل في التنقل مارئيكم  ,0,بانسبة للأيباد برو الجديد بشريحة M2 أو M1 بالطبع يمكنك الإعتماد عليه في شغل المونتاج  أشخاص كثيرة من صناع المحتوي يعتمدون عليه في شغلهم  أنصحك بمشاهدة مراجعات علي اليوتيوب لمستخدمي أيباد برو في عمل المونتاج ,0
اريد شرح باختصار ل MS DOS و FreeBSD  ,0, هو نظام تشغيل قديم تم تطويره في الأساس من قبل شركة مايكروسوفت في الثمانينيات  كان يعتمد على واجهة سطر الأوامر وكان يستخدم على نطاق واسع في الكمبيوترات الشخصية والأجهزة الصغيرة  ويعد الآن بمثابة نظام تشغيل تاريخيFreeBSD  هو نظام تشغيل ينتمي إلى عائلة  يونيكس وهو مجاني ومفتوح المصدر  يستخدم فيunix العديد من المجالات مثل الخوادم والشبكات وأنظمة التشغيل المضيفة  يتميز بالأمان والاستقرار ويوفر واجهة سطر الأوامر وواجهة المستخدم الرسومية ,0
ما هو الweb caches  وما هي فائدته  ,0, هو عملية حفظ نسخة من صفحة الويب على الخادم المؤقت لتقليل الوقت اللازم لتحميل الصفحة من خادم الويب الرئيسي في المستقبل  يمكن للمستخدمين الوصول إلى الصفحة المخزنة في الخادم المؤقت بشكل أسرع لأن الصفحة لم تعد تحتاج إلى الحصول على كافة المكونات من الخادم الرئيسي,0
ايهما افضل الامن السبراني ام تقنية المعلومات,1,يعتمد اختيار الأفضل بين الأمن السيبراني وتقنية المعلومات على الاحتياجات والأهداف الخاصة بكل شخص أو منظمة تقنية المعلومات  أما الأمن السيبرانيبالتالي  فإن اختيار الأفضل يعتمد على الأولويات والاحتياجات الخاصة بك  إذا كانت الحاجة إلى تحسين كفاءة الأعمال هي الأولوية الرئيسية  فإن ,0
كم أسعار إنشاء قاعدة بيانات و ربطها بموقع ,0,لا يمكن تحديد سعر إنشاء قاعدة بيانات وربطها بموقع بشكل دقيق  لأن هذا يعتمد على العديد من العوامل المختلفة  مثل حجم قاعدة البيانات ونوع البيانات المخزنة وتعقيد النظام الذي تحتاج إليه والوظائف الإضافية التي تريد تضمينها ومدى تفاعل المستخدمين المتوقع ,0
كيف أدرس علوم الحاسب بشكل جيد و أتأسس جيدا فيه  و المصادر التي من الممكن ان أتعلم منها ,1,منهج ossu منهج الكثير من الناس رشحوه ليكون الأفضل ,1
هل العمل فى مجال البرمجة بمسارتها المختلفة مقتصرة على الخريجين فقط ام على أصحاب المهارة ,0,لا بل أكثر العاملين في المجال لم يدرسوا برمجة نظاميا بل عن طريق التعلم الذاتي الشركات الكبرى العالمية لا تطلب الشهادة أسامة الزيرو صاحب قناة الزيرو سكول خريج خدمة إجتماعية ويمكنك إعتباره أشهر مبرمج عربي,1
كيف أخترق شبكات الواي فاي المحيطة بي بواسطة الحاسوب  من لديه معلومات في هذا الشأن   ,0,اذا كان لأسباب غير مشروعة فتأكد من أنه محرم وإعتداء على حقوق الغير اذا كان لأغراض تعليمية يمكنك التعلم وانشاء مختبرات إختراق خاصة بك وذلك عن طريق ,0
ما هو افضل تخصاص فلعمل هل هو الذكاء الاصطناعي او حسبات ومعلومات  برمجه   ,1,لا يوجد تخصص  أفضل  عالمي ا تجاه كل شخص  كل من الذكاء الاصطناعي والحسابات والمعلومات يحمل فرص عالمية تبع ا للمناخ الإقتصادي والتكنولوجي والاحتياجات الإجتماعية المحلية وخبرة ومهارات الشخص ان أفضل عمل هو العمل الذي تستطيع القيام به بشغف وتحبه وتتأهل له ,1
السلام عليكم ورحمة الله وبركاته أريد أن أسألكم بخصوص هاتف redmi note 8 توصلت بتحديث miui 12 0 6 0 اعتقد سنة 2021 و لحد الان لاأعرف هل هو جيد ام به مشاكل بخصوص البطارية او التشنج او ما الى ذلك مارأيكم اقوم بعمل التحديث او اترك الهاتف على miui 11 0 12 0 و شكرا  ,0,جيد عادي أنا حدثته لم اواجه مشكلات كبيرة بعد,1
كم تأخذ فتره اساسيات computer science كورسات زي cs50و datastrutcure و database و operating system خاصتنا ان مجمل الكورسات كل كورس من ٨ ال ١٥ ساعه فيديوز وازاي اذاكرهم صح بالتطبيق   مع العلم ان في تانيه علوم حاسب وحاليا اجازه منتصف العام ,0,المدة التى ستأخذها للإلمام بهذة المواضيع يعتمد على مستواك   هل انت مبتدأ  ام هل مستواك متقدم انت من تحدد هذا   ولكن من رأيى أن تبدأ ب cs50اولا قبل كل شئ   سيعلمك اساسيات البرمجه وايضا هذا الكورس يتضمن اهم المواضيع فى ال algorithms  data structure لهذا ابدأ به اولا   وعندما انتهى منه ابدأ بدراسة المواضيع الأخرى   ستجد سهوله أكثر فى الفهم,1
ما الفرق بين css و ui design ,0,شيئين مختلفين لا علاقة مباشرة بينهما css و ui design ولكل واحد منهم عمل خاصبينما سي أس أس  يختص في تصاميم صفحات الشبكة العنكبوتية تقوم  ui design  بتصاميم الواجهة الامامية للاجهزة والمعدات CSShttps   www w3 org   webdesignBut UI design,0
هل يوجد تطبيق يحفظ الأرقام المسجلة عبر الإيميل وتجدها في أي هاتف تريده ,0,هتعمل نسخة إحتياطية للارقام على ,0
السلام عليكم ورحمة الله وبركاته هل دوره ICDL اول خطوه لي لتعلم البرمجه لأنني لا اعلم شي في البرمجه فهل ادرس دوره ICLD ومن ثم ابداء بتعلم لغات البرمجه,0,ليس له علاقة بالبرمجة بشكل مباشر ولكن يعطيك قابلية ومهارات التعامل مع ما يخص في التكنولوجيا المعلوماتية مثل التطبيقات في ميكروسوفت أوفيس  word  powerpoint  excel  outlook  Access  etc   ولكن تعلم البرمجة شيء آخر  تحتاج الى دورة برمجة في لغة برمجة الحاسوب مثل ال   C أو لغة بايثون مثلا   ,0
مرحبا   لدى ثلاثة اشهر قبل ان يبدأ عامي الدراسي الاخير ادرس  IT  احب مجال الذكاء الإصطناعي واتمني ان يكون مشروع تخرجي بهذا المجال  هل هذه الفترة كافية لتعلم ما يؤهلني لهذا المجال  ,1,إذا عندك فكرة صديقي عن الموضوع ليش ماتجرب  شوف شي فكره بتعتمد على الذكاء الصناعي وجرب اشتغل عليها بالكود وقول ياكريم,0
محتاج شخص ينصحني إزاي اقدر أختار مجالي في البرمجه لأني في سنه تانيه وتايه ومش عارف اعمل ايه   ,1,بكل بساطة خدي نظرة عامة عن جميع مجالات البرمجةو يكون بعلمك انو كل مجال و ألو صاحبو مثال  تصميم المواقع بيطلب شخص بحب التصميم و الهيكلةالذكاء الاصطناعي بيطلب شخص بيتمتع ببالبحث إيجاد الحلول لمشكلة معينةاو انك تختصي بعلم البيانات فلازم يكونك بتحبي  لرياضياتو البرمجة بشكل عام بتحتاج شخص بيتمتع بالتفكير المنطقي و التفكير خارج الصندوقو بعد ما تتعرفي على المجالات و تختاري المجال يلي بناسب اطباعك بتبحثي على خطة كامل لتصيري محترفة بهاد المجال و بسمع تمنياتي ألك بالتوفيق الدائم,1
هل يوجد تطبيق يعرض لي عدد الهواتف المحمولة التي تم تسجيل رقم هاتفي عليها ,0,لا يوجد تطبيقات على الإطلاق التي تمكنك من معرفة عدد الهواتف المحمولة التي يتم تسجيل رقم هاتفك عليها  لأنه يشكل خطرا على الخصوصية كذلك  البعض من شروط الاستخدام لهذه الخدمة التي تقدمها الشركات العاملة في مجال الهواتف الجوالة يحظر عليها الإعلان عن هذا النوع من المعلومات  لذلك يصعب الحصول عليها,0
لماذا اختراق كلمات مرور الوايفاي سهل لهذه الدرجة مع اني لا اعتقد ان حمايتها صعبة ,1,المشكلة في حماية wifi هو ان هو wifiهو عبارة عن موجات كهرومغناطيسية منتشرة في الهواء على مجال واسع أي ان أي شخص بلاقط قوي يمكنه التقاط الموجات من مسافات كبيرة يكمن الحل في تشفير المعلومات المرسلة من المستخدم والمودم وهو حل يتم استخدامه في الشبكات السلكية ولا سلكية بطرق مختلفة   إذن لماذا لا يزال هناك اختراق   لان لا يمكننا تشفير جميع المعلومات  لماذا   الإجابة بشكل سهل   تخيل معي انك تريد إرسال بريد لوالدك عبر شركة توصيل ولا تريد لشخص غيره قراءتها ستقوم بتشفير الرسالة بطريقة متفقه بينكما لكن لا يمكنك تشفير العنوان لان في هذه الحالة لن تصل إلية الرسالة  هذه احد اهم المشاكل التي تواجه المختصين  تم إيجاد الكثير من الحلول الفعالة ربما افضلها هي استخدام سيرفر RADIUS للتحقق من الهوية لكنها مكلفة وغير مجدية للأشخاص العاديين  ليس من المنطقي ان تحمي مليون بشراء خزنة قيمتها مليون او اكثر    هناك طرق كثيرة للاختراق ولا يوجد حل كامل لتامين المعلومات وكل ما كان الحل اقوى كانت التكلفة اكبر والمعركة لا زالت مستمرة بين القراصنة  أتمنى إجابتي كانت شافية حاولت التبسيط وعدم الدخول في التفاصيل لان إجابة واحدة لن تكون كافية اعلموني إذا كنتم تريدون تفاصيل اكثر فانا اكثر من مرحب  ,0
كيف أقوم بعمل نسخة واتساب ذهبي خاصة بي      الجميع يعلم ان جميع نسخ واتساب الذهبي غير امنة ولكنها تتمتع بمميزات اضافية ومهمة عن النسخة العادية فكيف اقوم بعمل نسخة واتساب ذهبي انا مطورها لاستفيد من المميزات والحصول علي الامان لانني انا المطور  ,0,عليك أن تقوم بعمل هندسة عكسية للتطبيق نفسه و انصحك بعملها بعيدا  عن جهازك رئيسي للمحافظة على بياناتك من المخطرقين عليك انت تكون على معرفة بلغة تطوير الويب لأن واتساب يعتبر تطبيق و موقع ويب ايضا  فسوف يظهر لك جميع برمجته بهذه اللغة تحتاج لتعلم الهندسة العكسية لفعل هذا هناك نسخة واحدة منه باللغة العربية على الأنترنت,0
ما أفضل لغة برمجة لأبدأ بتعلمها  جافا  بايثون  سي    أم لغة أخرى ,1,لايوجد لغة افضل من لغة بشكل مطلق  ولكن اذا اردت معرفة ماهي افضل لغة لتعلمها عليك تحديد الغرض من تعلم اللغة اذا كان هدفك من تعلم اللغة هو ,1
مارأيك بالرغبى الشديدة في المال التي تجعلهم تعلم مجال صعب من كل جانب كالبرمجة الذي تحتاج الكثير من الرغبة والصبر أقصد فقط فئة الناس الذين يتعلمونها من أجل المال ,1, المال و البنون زينة الحياة الدنيا  كما قال ألله عزوجل في سورة الكهف  إنما سنحاسبوا على كيفية جمع هذا المال و فيما صرفناه وإلا إذا كنت تستطيع أن تمتلك الدنيا عن طريق الحلال فأفعل ,1
هل يمكننا الوصول بالآلة الذكية إلى تتحكم بالإنسان ومشاعره وحركاته وسكناته  مجرد تساؤل,1, لا  لا يمكننا الوصول بالآلة الذكية إلى تتحكم بالإنسان ومشاعره وحركاته وسكناته  يمكن للآلة الذكية التعامل مع البيانات التي يتم توفيرها لها والتعامل معها لتوفير خدمات معينة  ومع ذلك  يبقى الإنسان هو الذي يتحكم في مشاعره وحركاته وسكناته ,0
ما هو مسار تعلم لغة برمجية  كلغة البرمجة C مثلا ,0,تعلم لغة البرمجة C يمكن أن يتطلب مسار ا متدرج ا ومتعدد المراحل  يمكن للطلاب المبتدئين البدء بتعلم الأساسيات العامة للبرمجة والتي قد تتضمن تعلم لغة البرمجة يتطلب الكثير من التمرن والتدريب العملي  ولذلك يجب أن يتم اختيار مسار تعلم مناسب لمستوى الطالب ويجب أن يتم التركيز على التدريبات العملية والمشاريع العملية ,0
هل يمكن اختراق شريخة الهاتف و كيف اعرف انها مخترقة   ,0,نعم  يمكن اختراق شريحة الهاتف  يمكن للمخترقين الاستفادة من ثغرات الأمان الموجودة في برامج الهواتف الذكية للوصول إلى البيانات الخاصة بالمستخدم  يمكن أيض ا للمخترقين استخدام برامج الاختراق التي تستخدم معالجات البيانات والبرامج التي تستخدم في الهواتف للوصول إلى البيانات يمكنك التحقق من ذلك باستخدام برنامج التشغيل الخاص بالهاتف الخاص بك  يمكنك أيضا التحقق من إعدادات الأمان للتأكد من أن الهاتف لم يتم تهكيره  يمكنك أيضا التحقق من سجلات السيرفر للتأكد من أن لا يوجد عمليات مخترقة نشطة ,0
اريد ارجاع حسابي علي الفيس بوك علما بانه لا اتذكر الباسورد ولا الرقم ولا يوجد عليه ايميل هل تقدرو تساعدوني  ,0,للأسف  لا يمكنني المساعدة في استعادة حساب الفيسبوك الخاص بك  ولا يمكنني الوصول إلى حسابات الفيسبوك أو تعديلها كأي نوع من الحسابات الأخرى  للمساعدة في استعادة حساب الفيسبوك الخاص بك  يرجى الاتصال بدعم الفيسبوك من خلال الرابط التالي  ,0
كنت اعبث في الكود الخاص باحد المواقع حتى ظهر لي مثلث احمر كتب بجانبه تم تسجيلك ضمن محاولة اختراق للبيانات فماذا يعني هذا ,0,السلام عليكم  لاعليك يا صديقي  على الاغلب هي حيل على المواقع لجذب انتباهك لتضغط على هذا المربع فينقلك الى صفحة اخرى لتسجل فيها او تعطي رقم تلفونك يبيعوه للشركات الدعائية او لتنزيل برامج,1
حسب خبرتك  ما هي عيوب مجال blockchain  ,0,فيما يلي بعض التحديات الرئيسية التي تواجه مجال تقنية blockchain قابلية التوسع  تحتوي معظم شبكات blockchain الحالية على قيود من حيث عدد المعاملات التي يمكنها معالجتها في الثانية   مما قد يعيق اعتمادها على نطاق واسع  الموثوقية  على الرغم من أن blockchains مصمم ليكون آمن ا وموثوق ا به   فقد تعرضت بعض البلوكشين للاختراق أو عانت من أخطاء في الترميز أدت إلى خسائر مالية كبيرة اللوائح التنظيمية  لا تزال البلوكشين تقنية جديدة ومتطورة نسبي ا   ولا يزال هناك العديد من القضايا القانونية والتنظيمية المعلقة المحيطة باستخدامها التبني  على الرغم من أن تقنية blockchain لديها القدرة على إحداث ثورة في العديد من فيما يلي بعض التحديات الرئيسية التي تواجه مجال تقنية blockchain قابلية التوسع  تحتوي معظم شبكات blockchain الحالية على قيود من حيث عدد المعاملات التي يمكنها معالجتها في الثانية   مما قد يعيق اعتمادها على نطاق واسع  الموثوقية  على الرغم من أن blockchains مصمم ليكون آمن ا وموثوق ا به   فقد تعرضت بعض البلوكشين للاختراق أو عانت من أخطاء في الترميز أدت إلى خسائر مالية كبيرة اللوائح التنظيمية  لا تزال البلوكشين تقنية جديدة ومتطورة نسبي ا   ولا يزال هناك العديد من القضايا القانونية والتنظيمية المعلقة المحيطة باستخدامها التبني  على الرغم من أن تقنية blockchain لديها القدرة على إحداث ثورة في العديد من الصناعات   إلا أن اعتمادها على نطاق واسع لا يزال محدود ا بسبب تعقيد تنفيذها وإحجام بعض الشركات عن تغيير عملياتها الحالية  الطاقة  تستهلك بعض شبكات blockchain الكثير من الطاقة لتشغيلها   مما قد يتسبب في مشاكل بيئية,0
اريد اقتراحات لشراء كومبيوتر  ما هو نوع و مواصفات اللابتوب خاصتك و ما تقييمك لأدائه,0,السلام عليكماذا كنت تريد ان تشتري مستعمل اوجديد لا تنزل عن هذه الامكانياتالمعالج   core i5 من الجيل الرابع فما فوق ونفس الكلام مع الi7كارت الشاشه  gtx 750ti كارت متوسط واداءه جيد في الاستخدام العاديالرامات   من 8 جيجا فما فوقالزاكره   لا تقل 120 جيجا من نوع ssd صدقني سوف ينقل سرعه الجهاز الي مستوي اخر وتاكد ان تثبت النظام علي هذه الزاكره حتي تستفاد من السرعهمع زاكره عاديه hdd 500 جيجا للتخزينستجد مثل هذه الامكانيات متوافره في السوق وبكثره,1
تمت سرقة هاتفي ريدمي نوت 9  Redmi Note 9   فهل هناك طريقة أو برنامج للمساعدة في العثور عليه  علما  أن البيانات فيه وال GPS لم تكن مفعلة ,0,الحمد لله    النهارده خلصت كل الإجراءات القانونيه المطلوبه من أجل إستعادة هاتفي الذي تمت سرقته في نهاية شهر يناير الماضيو هقولكم الخطوات بالتفصيلو كلها خطوات سهله جدا  تقدر تعملها لوحدكو نسبة رجوع الهاتف بتوصل ل خمسه وتسعين في الميه المهم تعمل الخطوات دي و الباقي على اللهأهم حاجه يكون معاك علبة الموبايل و عليها رقم السيريال نمبر و تكون عارف رقم الخط أو الشريحه إللي كانت موجوده في الهاتف و تاخد معاك بطاقتك الشخصيهملحوظه الأوراق المطلوبه     هتحتاج تلات صور للبطاقه الشخصيه وش وضهرو تلات صور ل علبة الهاتف من الجانب إللي موجوده عليه رقم السيريال نمبر حضرهم و خودهم معاك و إنتا رايح الحمد لله    النهارده خلصت كل الإجراءات القانونيه المطلوبه من أجل إستعادة هاتفي الذي تمت سرقته في نهاية شهر يناير الماضيو هقولكم الخطوات بالتفصيلو كلها خطوات سهله جدا  تقدر تعملها لوحدكو نسبة رجوع الهاتف بتوصل ل خمسه وتسعين في الميه المهم تعمل الخطوات دي و الباقي على اللهأهم حاجه يكون معاك علبة الموبايل و عليها رقم السيريال نمبر و تكون عارف رقم الخط أو الشريحه إللي كانت موجوده في الهاتف و تاخد معاك بطاقتك الشخصيهملحوظه الأوراق المطلوبه     هتحتاج تلات صور للبطاقه الشخصيه وش وضهرو تلات صور ل علبة الهاتف من الجانب إللي موجوده عليه رقم السيريال نمبر حضرهم و خودهم معاك و إنتا رايح تعمل المحضر بعد فقد الهاتف إتصلت به أكتر من مره و كان بيدي مشغول ثم تم إغلاق الهاتف و عرفت كده أن التليفون إتسرقتاني يوم على طول عملت تغيير شريحه من فرع شركة المحمول إللي أنا تابع ليها بصورة البطاقه ١   الخطوه الأولى    و بعدين طلعت علي القسم إللي أنا تابع له و هو قسم شرطة قصر النيلعملت محضر   فقد   هاتف لازم فقد يا جماعه بلاش سرقه لأنه لو عملت محضر سرقه كده هيتم حفظ المحضر ضد مجهول و هيكون صعب شويه إنه يرجع تاني٢   الخطوه الثانيه    و بعدين أخدت رقم المحضر و إنتظرت أسبوع و بعدين طلعت على النيابه إللي أنا التابع لها وكانت نيابة عابدين و بتعرف النيابه التابع لها من قسم الشرطه إللي عملت فيه المحضر و في النيابه خلصت بعض الأوراق و الأختام و كلفتني تقريبا  أربعين جنيه٣   الخطوه الثالثه و الأخيره    و بعدين ذهبت بالأوراق دي إلى مباحث الإتصالات الموجوده بجوار ميدان رمسيس و بتعرف عنوان مباحث الإتصالات من النيابه أو قسم الشرطه إللي عملت فيه المحضر في الأول و هناك في النيابه أتممت باقي الأوراق و الإجراءات و بتتم عملية التتبع للهاتف برقم السيريال نمبر بحيث إن أي شريحه يتم تركيبها في الهاتف المسروق بيتم رصد و معرفة إسم و عنوان و جميع بيانات الشخص السارق و بيتم الإتصال به من الجهات الأمنيه و إستعاده الهاتف منه ثم الإتصال بك لإستلام الهاتف و في مباحث الإتصالات خلصت شوية أوراق بتكلفة تقريبا  عشرة جنيهاتو بعدين طلب مني رقم هاتف يكون شغال معايا في الوقت الحاليعلشان يتم التواصل معايا من خلاله فور توفر الموبايل لد,0
ارغب في تنفيذ فكرة موقع الكتروني باستخدام ال WordPress فكرة موقعي تشبه منصات العمل الحر مثل Freelancer  اي ان الموقع تفاعلي  فهل أستطيع تنفيذها باستخدام الwordpress ام هل هناك بديل له استطيع استخدامه   أم ان الحل الوحيد هو تعلم البرمجة لانشاء موقعي ,0,تقدر طبعا لكن ستحتاج الى شركة استضافة قوية مع سيرفر بمساحة كبيرة حتى يتحمل العدد الكبير من الاعضاء والملفات المرفوعة على الموقع  وتحتاج الى مطور مواقع محترف جدا جدا ,1
عقلي مشتت تماما  في جميع المجالات من برمجة وترجمة وكتابة محتوى وتطوير مواقع الويب  إلخ  لا يمكنني أن أتفرغ في مجال معين وأنجح فيه  هل من مساعدة ,1,صدقني التشتت هو عدو النجاح إختر مجالا وأتقنه حتى تصير محترفا فيه فنحن لم نعد في زمان العلماء الموسوعيون الذين يفقهون في الكمياء  الفلك والطب وأخرون في الأدب والنحو والتاريخ نحن في زمن التخصصات فلم يعد بمقدورنا أن نتعلم الكثير في وقت قصير بحكم أن كل يوم نصادف شيئا جديدا  ونعيش في عصر السرعة أنا لا أقول أنه مستحيل ولكن بوجود كل هاته المشتتات و الملهيات سيستحيل الأمر لذلك لا تتورط وتدخل في متاهة تعلم كل شيئ في واقت واحد ستجد نفسك كل مرة تعيد الكرة ولا تتعلم شيئا وحتى وإن تعلمت لن تلاحظ الفرق لأنه بسيط وفي النهاية ستستسلم لذا حاول ان تركز كل طاقتك وجهدك في تعلم أمر واحد وحتى الإتقان يمكنك النجاح فصدقني التشتت هو عدو النجاح إختر مجالا وأتقنه حتى تصير محترفا فيه فنحن لم نعد في زمان العلماء الموسوعيون الذين يفقهون في الكمياء  الفلك والطب وأخرون في الأدب والنحو والتاريخ نحن في زمن التخصصات فلم يعد بمقدورنا أن نتعلم الكثير في وقت قصير بحكم أن كل يوم نصادف شيئا جديدا  ونعيش في عصر السرعة أنا لا أقول أنه مستحيل ولكن بوجود كل هاته المشتتات و الملهيات سيستحيل الأمر لذلك لا تتورط وتدخل في متاهة تعلم كل شيئ في واقت واحد ستجد نفسك كل مرة تعيد الكرة ولا تتعلم شيئا وحتى وإن تعلمت لن تلاحظ الفرق لأنه بسيط وفي النهاية ستستسلم لذا حاول ان تركز كل طاقتك وجهدك في تعلم أمر واحد وحتى الإتقان يمكنك النجاح فقط إن ركزت على شيئ واحد وتعلمته فالبرمجة مثلا لا يمكنك أن تقول تعلمتها فقط بتعلم الأساسيات فهي بحد ذاتها علم قائم عن نفسه تحتاج وقتا وصبرا وطول النفس ,1
