Question,Subj_Q,Answer,Subj_A,Domain
عيد الفطر والعمل الحر  كيف تخطط لإجازتك كمستقل ,0,أهل ا وكل عام وأنت بخير   الأمر مرتبط كلي ا بطبيعة العمل لدى الشخص  فالمتفرغ للعمل الحر كلي ا ولديه إلتزمات لا يمكن أن يقضى عطلة فعلية بدون أعمال  بعكس الأشخاص وأنا من هذه الفئة الذين يترددون قليل ا على العمل فلهم الحرية في عدم التقدم لطلبات في هذه الفترة وأجد أن أخذ قسط من الراحة والبعد عن العمل سيكون مجدي ا وهذا لفوائد التالية ولكن نصائحي تتمثل بتالي لو لم يكن هناك ارتباط فعلي  لأعمال مستلمة مسبق احاولي البعد كلي ا عن العمل خلال فترة العيد  واستغلال الفترة كفترة نقاه فعلية لتقوي للأيام القادمة  ولوكان هناك ارتباط فعلي  لابد من تسليمهحاولي العمل في اوقات المساء او الصباح ما بعد الفجر هذا يعطي راحة نفسية من حيث الإنجاز ولا تشغلي كل وقتك بالنظر للعمل  العيد يأتي مرة أو اثنتين بالسنة ومن حق الإنسان على نفسه أن يستمتع طالما لا يوجد مانع والأعمال لا تنتهى ,0,العمل الحر
متى تقدم أكثر من متطلبات وظيفتك ,0,على الرغم من أنها سياسة مرهقة في بعض الأحيان  فأنا ألتزم دائم ا بالمزيد من متطل بات الوظيفة  أو على الأقل أحاول  لكن في سياق دراسة تحليلي ة مبدئي ة لأهداف المشروع  وذلك لأنني لا أرغب على الإطلاق في أن أرفع من كفاءة العمل من أجل مجر د الحصول على تقييم جي د  وإنما أعمل دائم ا على أن أرفع كفاءة العمل في الاتجاه الذي يغي ر المشروع بأكمله إلى الأفضل  وبالتالي تظهر أفكاري بالصورة المناسبة التي خط طت  لها  لكن ذلك لا يتحق ق إل ا من خلال تحليل مختلف أهداف المشروع  وفهم الغرض التسويقي لصاحب المشروع نفسه واتجاهاته وجمهوره   إلخ ,1,العمل الحر
متى يرفض المستقل أي مشروعات إضافية ,0,أعتقد أن سياسة رفض المشاريع كما ذكرتها يا علي من أهم الأمور التي يجب أن يفهمها المستقل جيد ا فالمشاريع من الممكن أن تضر بصحابها لا تفيدهمثل ا في حالة التكدس كما ذكرت فلا يجب استمرار قبول مشاريع قد تضر بالمشاريع التي تعمل عليها بالفعل بسبب جدول أعمالك أيض ا في حالة نادرة أظنها تفصيلة صغيرة ولكن بعض المستقلين من الممكن أن يعتمدوا على نوع محدد من المشاريع لا يتطلب جهد كبير كما ذكرت ويعتبروه مصدر للدخل  في هذه الحالة أعتقد أن المستقل يجب أن يقف مع نفسه وقفة في مرحلة ما ويرفض المشاريع من هذا النوع ويبدأ في تعلم مهارة جديدة تحسب ا لانتهاء هذا النوع من المشاريع أو زيادة العاملين عليها رفض المشاريع يحدده عاملان مهمان  النظر الوقت والنظرة للمستقبل ,1,العمل الحر
كمستقل  كيف ستقول لعملائك عيد سعيد ,0,أعتقد أن فكرة استغلال المستقلين العيد من أجل هذه المناسبة أمر مهم جدا ومفيد إلا أنه يحتاج قدر معينا من الإبداع للجمع بين المعايدة وتذكير صاحب المشروع بالعروضات  فيمكن مثلا للمستقل تحديث بطاقة العمل الخاصة به والتي تحوي أحدث العروضات التي يقدمها لأصحاب المشاريع  ففي هذه الأيام وكما هو معروف فإن الأفراد يحجمون عن العمل وهو أمر طبيعي نتيجة وجود عطلة الأعياد  يمكن استغلال هذا الأمر في تذكير صاحب المشروع أنك كمستقل جاهز لتلبية طلباته وحتى في العيد  وقد يفيد هذا الأمر كثيرا خاصة أن هناك مشاريع لا تحتمل التأجيل لدى أصحاب المشاريع ووهو ما يحتم انجازها خلال العيد  وإذا لم يكن هناك اي مشاريع لدى أصحاب المشاريع فهو أمر مفيد للمستقبل لناحية إظهار الولاء لهم حتى في المناسبات والعطل  كما يمكن إرسال بريد إلكتروني مقتضب يحوي معايدة لطيفة ورسمية مع تذكير أصحاب المشاريع بالخدمات التي تقدمها وجاهزيتك كمستقل للعمل حتى في العيد  وفي حال وجود تواصل شخصي مع صاحب المشاريع يمكن تصميم بوستر بصورة عيد مبارك في المنتصف مثلا ومن حوله تذكير بالخدمات التي يستطيع المستقل تقديمها وكافة العروضات المقدمة على الخدمات ,0,العمل الحر
ما هي سقطات العمل الحر التي لا تغتفر وتهدد مسيرة عملك كمستقل ,1,أول ما بدأت في العمل الحر طلب مني أحد العملاء المقابلة عبر جوجل ميت   GoogleMeet   أنا فرحت جدا  لأن ذلك كان أول محادثة لعميل معي وسعدت بها جدا   بالفعل وافقت و كان علي أن ألتقيه في اليوم التالي في الواحدة ظهرا   غير أن مستقل أرسل لي برسالة  تحذيرية فحواها أن  التقاء العميل خارج المنصة سيعرضني لحظر وربما غلق حسابي  الحقيقة وقتها وقت في حيص بيص كما يقولون  لأنني كنت مشدودا  بين حبلين  أن أرضي العميل وأن أفوز بأول عمل لي  والآخر الخوف من التعرض لغلق حسابي  ظللت متوترا   قلقا  غير أني قررت أن أوثر جانب السلامة وألا أفعل  الخلاصة هي أننا لابد أن نتبع قواعد المنصة التي نعمل عليها وعليى العملاء أيضا  أن يراعوا ذلك  فلا تعامل خارجها أو حتى لقاء خارجها ولكن يا حب ذا لو وفرت المنصة لقاء بالصوت و الصورة  سيوفر علينا ذلك كثير من العنت و المشاكل ,1,العمل الحر
معرض أعمال يؤهل للفوز بالمشاريع  ما هي أهم صفاته ,0,لقد وقع في أخطاء كثيرة في ما يخص هذا الأمر وانتبهت أخيرا  إلى أخطائي وأستطيع أن أعطي حضرتك من خلفية هذا التطو ر الذي قمت به نصيحة حقيقية يمكنك الاستفادة منها  قد يبدو غريبا  ما قد أقوله الآن ولكن ليس حرفية المشاريع واحترافي ة العمل هي فعلا  الفيصل لاختيارك من قبل العملاء وهذا الأمر استنتجته مؤخرا   استنتجت الأمر من مراقبتي لعشرات من معارض الأعمال وسؤال الكثيرين من المستقلين في محيطي عن الأمر  إذا لم يكن الاحتراف هو العامل الفيصل في مسألة معرض أعمالك  إذا ما الذي فعلا  يكون مهما  أكثر في هذه العملية برأيي طريقة الطرح  طريقة الطرح الجدي ة المتفانية بعرض التفاصيل والترتيب الم بالغ به والصور اللائقة جدا  وخاصة الم صممة عن طريقك لعرض المشروع هي الأهم  غالبا  ما أرى الكثير من المحترفين الذين يفتقدون لهذا الأمر  يقومون بإنجاز عمل رائع جدا  من حيث الانجاز ولكن استعراضه فيه قل ة اهتمام واضحة وعدم تفصيل بكيف تم  انشاء هذا المشروع من البداية للنهائية  بعدم استعراضه بعناية عليك  أن تتعاملي مع معرض أعمالك كما تتعاملين برأي مع العروضات التقديمية  لا تكفي المعلومات المهم ة والانجاز المتكامل  بل يجب أن تحرصي على إضافة التفاصيل اللازمة للتوضيح  إضافة كل ما يمكنه أن يكون م هم ا  في توضيح العملية للعميل  هذا الأمر يوض ح أن لدى حضرتك طول نفس في مسألة العمل وتركيز عالي بالإضافة إلى تفر غ للعمل الحر  كل هذه انطباعات هذه انطباعات يكو نها صاحب العمل عنك  بمجر د أن يرى معرض الأعمال  ما يعني أن  معرض أعمال بمشروع م نجز جي د متكامل مستعرض بطريقة جدا  مفص لة ومهم ة ومرت بة ولائقة بصريا  هي الأمر الذي سيمي زك عن الآخرين  هذا ما يفتقر إليه معظم المستقلين بحسب مراقبتي الدائمة لواقع الأمور ,1,العمل الحر
ماذا لو اكتشفت كصاحب مشروع أن مستقلك روبوت ألي  كيف ستكون ردت فعلك ,0,لم أجرب تقنية Chat GPT 4  كما ينبغي أن يكون لأنها لم تتوفر في بلدي بعد  ولكن كنت قد جربت بعض التطبيقات على الهاتف وراحت أسأل وأحاور و سألته عن بعض الأسئلة فلم يجد جوابا  بعد عليها  نعم  يبدو أن قاعدة البيانات لم تحدث بالشكل الكافي أو وقفت عند حد عام 2021  ثم أني قرأت بوست على الفيس للفرق بين الترجمة التي يحدثها جوجل ترانسليت مثلا  و بين ترجمة الذكاء الإصطناعي فلم أر  كبير فرق يذكر  و للرد على سؤالك  هل من الممكن أن يصلح الذكاء الإصطناعي للاستغناء عن المترجمين   الجواب بالطبع لا  هو آداة قد تعيننا فقط على الإسراع من الإنتاج غير أن التدقيق و التحقيق لابد منه على كل حال  وإذا اكتشفت أن المستقل الذي يعمل على مشروعي لا ي عمل عقله و جهده البشري في النص فقطعا  أنا سأعلم ذلك وقطع ا لن أكمل معه  اللمسة البشرية لا بديل عنها بحال ,1,العمل الحر
مصمم الويب  ما هي المهارات اللازمة لأعمل بهذه الوظيفة ,0,صحيح أن هناك تكامل وتداخل بين المجالين  ونجاح الموقع متعلق بوجود تعاون بين كليهما  إلا أنه من مهام مصمم الويب معالجة العناصر المرئية والجمالية للموقع  إذ يعمل على دراسة ووضع التخطيط ونظام الألوان والطباعة والتصميم العام لموقع الويب  ويكون معني ا كذلك بتصميم تجربة المستخدم  UX    التصميم الذي يضمن سهولة تصفح الموقع الإلكتروني وسهولة استخدامه وتوافقه مع جميع الأجهزة  أما الأدوات التي يشيع استخدامها في مجال تصميم الويب  لديك Adobe Photoshop أو Illustrator أو Sketch  مهارات مصمم الويب تتمثل في فهم معايير الويب وإمكانية الوصول  وفهم اللغات البرمجية مثل HTML و CSS أما مطور الويب فمسؤول عن الأمور الفنية إذ يبني الموقع ابتداء  باستخدام لغات البرمجة مثل HTML و CSS و JavaScript ويحرص على متابعة سرعة استجابته وتطور أدائه  لذا يجب أن يكون متقن ا لهذه اللغات تمام ا كما يدير مطور الويب قواعد البيانات ويكون مسؤول ا عن إنشاء وإدارة تطبيقات الويب  مهاراته طبع ا تقنية برمجية  يدرس ويتقن اللغات مثل PHP أو Python أو React أو Angular أو Node js أود أن أشير إلى أن الاستعانة بأدوات الذكاء الاصناعي سهلت من مهام المبرمجين  وبالتالي بات من أهم مهارات المصمم والمطور هي فهم وتطويع أدوات الذكاء الاصطناعي في إنجاز مهامهم ,0,العمل الحر
قابلت إعلان ا عن توظيف مساعد افتراضي  هل تكفي حماستي للعمل ,1,لا نختلف ابدا حول أهمية المعرفة والمعرفة النظرية بالتحديد   فهي جد مهمة لفهم المفاهيم والمبادئ الكامنة وراء اي مشروع   إلا أنها لا تكفي دائم ا لإكمال المشروع بنجاح    غالب ا ما تتطلب المشاريع مزيج ا من المعرفة النظرية والمهارات العملية   او ما يسمى بالمعرفة العملية بالإضافة إلى القدرة على تطبيق تلك المعرفة والمهارات في مواقف العالم الحقيقي كمستقلين لا يمكن ان نغامر بالدخول في مشروع نعرف فقط حيثياته نظريا لا الاختبار العملي يمكن يفشل ويثر سلبا على مسيرتنا   لذلك انصح نفسي دائما بالدخول في المشاريع التي اوقن تماما اني ملمة بها من كل النواحي عملية ونظرية كما ان حتى لو كان يبدو لك ان المشروع مقدور عليه دون خبرة عملية  يمكن لصاحب المشروع ان يستشعر النقص العملي  في البداية   وهنا تبدأ إحدى حالتين  اما التحكم والسيطرة والاسعلاء على المستقل بدافع حماية المشروع  او انكار جهود المستقل وبعض الاحيان سحب المشروع او تغيير سعر المشروع لاقل بكثير من قيمتهالحقيقة  فقط لان العميل لا يشعر بالامان من طريقة الاداء ,0,العمل الحر
مشكلة تسعير خدماتي,1,أعتقد أنه لو تواصل صاحب المشروع مع حضرتك وظهر بالمشروع مهام أكثر مما فهمت من الشرح الأولي  يمكنك التحاور معه بشأن ذلك  وعليه بالاتفاق يمكنكما تعديل الصفقة سواء  من حيث الأجر أو التوقيت هذا حدث معي عدة مرات  وللحقيقة  لم أضطر أنا للحديث  كان أصحاب المشاريع من الذوق كفاية أن يطلبوا مني تعديل الصفقة ورفع الأجر فالأمر ليس معقد ا ولا داعي للقلق يناقش هذا المثال العنصر الثاني في المزيج التسويقي متمثلا في السعر  والذي يتمتع بأهمية خاصة عندما تقديم منتج جديد أو عند الدخول إلى سوق جديدة    ,0,العمل الحر
أفكر في الدخل السلبي كمستقل  بماذا تنصحني ,0,لدي  الآن فكرتين الأولى متأك د منها 100  والثانية أريد طرحها حتى نناقشها ونعرف احتمالية نجاحها  لقد لاحظت أن  هناك الكثير ممن يعمل على خمسات يبيع الخبرة  ما الذي يعنيه هذا  إنه  يبيع ما يعرف  مثلا  لاحظت أن  هناك خدمة تقد م معلومات عن 500 منشأة تجارية بطابع واحد مخصص  مثل مطاعم أو سوبرماركت   إلخ  هذه فكرة تفتح لنا عقلي ة جديدة برأيي لرؤية الأمور  فهناك مثلا  من سيبيع وصفته أو تجربته أو حلوله أو معلوماته الممي زة أو تلك التي ليست مميزة حتى  أي أن يبيع وقته الذي يجمع به المعلومات  هذا أمر أكيد يمكننا التكس ب منه  أما الذي أنا لست متأك د منه حتى الآن هي مسألة الترجمة  فقد فك رت قبل أيام  في حال قمنا بترجمة مواد  مجانية وبلا حقوق  من الإنجليزية للعربية ألا يمكن لهذه المواد أن تكون قابلة للبيع أو يعد هذا أمرا  غير قانوني على منص ة خمسات مثلا   لإن ه  وفي حال هذا الأمر ممكن هناك الكثير من الملفات التي يمكننا طرحها بهذه الطريقة الاستباقية والتكس ب من الامر فورا  ,0,العمل الحر
كمستقل  متى تعمل ومتى تتعلم ,0,الموازنة بين العمل والتعلم هي أمر ليس بالصعب وبالأخص أنه أصبح ضرورة حتمية لا مفر منها ولكن الإستمرارية في فعله هي التي ت شكل الأزمة  لذلك أنا دائما  ما ألجأ لأحد الك تب المفضلة لدي وهو كتاب   فن التركيز والإنجاز   والذي بدوره يضع خطوات عملية لتساعدك على تحقيق أهدافك فعلى سبيل المثال وهنا بالتحديد يمكنك إضافة عادة جديدة لحياتك وهي التعل م وتخصيص وقت يومي لذلك حتى إذا لم يتعدى النصف ساعة فهنا النظرة إلى الأهداف على المدى البعيد فإذا قمت بعمل ذلك مرارا  وتكرارا  سوف يتحول الأمر إلى عادة تفعلها بشكل لا إرادي بدون أن تشعر لذلك أنصح بتخصيص قدر يومي لتعلم مهارة جديدة يبدأ الأمر أولا  بتطبيق المهارة خارج المشاريع   لمعرفة مستواك تحديدا  ومن ثم تبدأ بالبحث عن مشروع يناسب إمكاناتك والنصحية دائما  هي أن تبرز ما تجيده ولا ت قدم على أشياء ليس لديك القدرة على عملها وتبدأ بوضع مميزات للعميل ليقع الاختيار عليك كأن تضع أقل سعر والمدة المناسبة وتضع في التقديم الخاص بك أنه يمكنك عمل تعديلات لا نهائية للعميل   ك ل هذا المميزات ستضع قدمك على قاعدة صلبة ومن ثم سيصبح لديك الخبرة اللازمة في هذا المجال وتكون لك حرية اختيار المشاريع ,1,العمل الحر
ما رأيكم في عملية التسويق بناء على الجودة وليس على الكمية ,0,إن مسألة التسويق بناء على الجودة هي أمر مهم في رأيي فعلى سبيل المثال عندما تتبع المقالات نظام السيو فإنها تتصدر نتائج محركات البحث وبالتالي تصبح في المراتب الأولى وتحصل على مزيد من الزوار  أثبت ذلك نجاحه بالفعل في ضمان نجاح العديد من الشركات لذلك فمن المهم الإهتمام بمسألة الجودة ولكن لا يمكن أن تكون على حساب العائد المادي يتعلق الأمر أكثر بالوقت   ما هو الوقت اللازم لكتابة هذا مقال بهكذا جودة   من الممكن أن يضافي الوقت لكتابة مقالاين من ذي قبل ولذلك فيجب أن تغطي التكلفة ذلك عند الإلتفات للجودة على حساب الكمية لابد من إعادة النظر والتمعن في مسألة العائد المادي   وفي النهاية في الأمر يتعلق بالشخص فهو على دراية تامة بالوقت الذي يستهكله وبالعائد المادي من ذلك هل هو يستحق الإستمرار     أم عليه أن يبحث عن وظيفة آخرى ,1,العمل الحر
