Question,Q_Annotation,A_Annotation,Final_A_Annotation
أنا شاب عمري 36 عام  لم أمارس الرياضة البدنية أبدا  والآن أشعر بألم في العضلات كلما بذلت مجهود أو في طلوع السلم مثلا   هل يمكن أن أمارس الرياضة أو أذهب إلى صالة تمارين  وكيف يجب أن أبدأ حتى أحافظ على جسمي ولياقتي البدنية ,0,نعم يمكنك ان تفعل ذلكلكن بالتدريجمثلا ابداء برياضة المشي و بعد الرياضات البدنية كالضغط والسكواد لعدة شهور حتى تكتسب عضلات تتحمل مشقة الاثقال و الرياضات الثقيلة,1
كيف أتخلص من إدمان الوجبات الخفيفة  snacks  والمقبلات ,0,قد تكون تشعر  بالجوع الوهمي   يجعلك تتناول كمية طعام بشكل مفرط دون شبعهذه هي أعراض الجوع الوهمي  1 الشهية تكون للحلويات والوجبات السريعة2  يكون الجوع قوي بعد التوتر والغضب3  تناول الطعام بدون سبب مثلا عند الملل4  يظهر فجاةهذه هي الأسباب  1 الإعتياد على تناول كميات كبيرة من الطعام2 تناول الحلويات3 عدم تناول وجبة الفطور4 وقت الفراغ الطويل5 القلق والتوتر و التفكير السلبي6 السهر لوقت طويل    وحل هذه المشاكل يجب عليك القيام بهذه الخطوات  1 شرب الماء2 تناول ثمرة من الفاكهة3 غسل الأسنان4 شرب الشاي الأخضر5 التخلص من الشعور بالتوتر6 الإستفادة بوقت الفراغ  ,0
لدي  مسابقة علمية أود المشاركة فيها في مجال الصحة وعلوم الحياة  ما الموضوع الذي يمكنني تقديمه طالما أنه جديد وقي م ورائع ويجعلني فائز ا ,0,ربما يمكنك اختيار موضوع   الوجبات الغير صحية و التي تحدث اضطرابات هرمونية و ماينتج عنها من مشاكل  فقد لاحظت انتشار التساؤلات كثيرا حول مواضيع الحمية و التخسيس   او زيادة الوزن   الخيمكنك وضع حجر الأساس من هنا   ثم الاسترسال كما يحلو لك,1
ما هي زمرة دمك  وكم من المرات تبرعت بدمك ,0, Aولا مرة ماتبرعت,0
اريد ان افقد الوزن وان ابنى جيدى لدى بعض الترهلات وعمرى صغير جدا وارد ان اهتم ببشرتى وشعرى بسبب ضغط الدراسه صار ياثر به بالسلب فماذا افعل   ,1,كل الأكل الصحيمارس الرياضةنم جيدا,1
هل ش رب العصائر ي غني عن ش رب المياه ,0,لا طبعا لأن العصائر بها سكر والجسم يحتاج مقدار معين منه في اليوم   أما الماء فهو مركب من عناصر يحتاجها الجسم للقيام ببعض الوظائف ويدخل في تكوين الدم  ,0
ما هي نصيحتك لنا مع بداية فصل الشتاء ,1,حنا دخلنا فصل الشتاء و القطط تجعل من السيارات مأوى لها من الأمطار والبرد  لذلك تأكد من عدم وجودها داخل السيارة قبل البدء في تشغيلها ,1
بعد 3 أشهر سأكون بعمر 17 عام وطولي لا يزال حوالي 163 سم  لكنني أفقد شهيتي تقريب ا ولا آكل اللحوم  كيف أزيد طولي ,0,ماشاء الله ١٦٣ طول جميل    تستطيع ممارسة تمارين رياضيةاتباع نظام غذائي صحي متوازن الحصول على قدر كاف من فيتامين د المتوافر في الأسماك  والبيض  ومنتجات الألبان  والفطر على سبيل المثال الحصول على قدر كاف من الكالسيوم عبر تناول منتجات الألبان  والخضروات  والتونا  والسردين  والحبوب المعززة تناول أطعمة تحتوي على الزنك مثل  البازلاء  والفاصولياء  والبيض  والشوكولاتة  والمحار شرب المياه بكثرة مد العمود الفقري إلى الأمامهذا التمرين يتم بالجلوس على الأرض في وضعية مستقيمة  وفرد الساق إلى الأمام  ثم محاولة مد الجذع لتلامس أطراف أصابع القدمين بأصابع اليدين التكور  Pilates Roll Over للقيام بهذا التمرين من تمارين زيادة الطول تتبع الخطوات الاتية تمديدة الكوبراتمديدة الكوبرا هي إحدى حركات للقيام بهذا التمرين من تمارين زيادة الطول تتبع الخطوات الاتية ,0
عندما أحسب عمري عند التخرج من كلية الطب أجد أنني سأكون بعمر 26 سنة وبعد الماجستير سأكون 28 سنة  المشكلة أن الجميع يخبرني بأنني أدمر حياتي هكذا بحكم أن المجتمع الذي أعيش فيه مجتمع شرقي جدا  فأنا الوحيدة التي تخطت عمر 18 سنة ولم تتزوج  ماذا أفعل ,1,حسنا لنفكر بالمنطق ستصلين لعمر ٢٦ أو ٢٨ على أية حال  أرى أنه من الأفضل أن تصلي لهذا العمر و انت طبيبة  و ما أدراك ما هذه الكلمة  أشرف و أنبل مهنة   لا تضيعي جهد سنوات من الدراسة إن كان حلمك الطب لا تتخلي عنه  كافحي من أجله و بالنسبة للزواج فهو قسمة و نصيب سيأتي على كل حال في الوقت المناسب كان هذا مجرد رأي خاصاتمنى لك التوفيق   ,1
ما هي أهم أعراض ضيق التنفس ,0,أعراض ضيق التنفس للمزيد  ,1
أين وكيف تنشأ الصفائح الدموية ,0,تنشأ الصفائح الدموية  ,1
ما محاذير استخدام الحلبة ,0,محاذير استخدام الحلبة بالرغم من أن  الحلبة ت عد  من الأعشاب الآمنة  إلا أن  هناك عد ة أعراض ومحاذير لاستخدامها  وفيما يأتي أهمها للمزيد  فوائد واحتياطات تناول بذور الحلبة,0
كم العمر الافتراضي لمرض حب الشباب ,0,إلى سن ال 25 ومن الممكن أن يستمر بعدها او ينتهي قبل ال 25عليك بالاهتمام ببشرتك,0
ما سبب أني أرى نفسي بشكل عادي وطبيعي بينما يراني الناس وسيما  ,1,لا اعلم أن كان هذا شئ سئ انا أراه جيد  لكن سوف اقول لك لماذا   الإنسان تختلف نظرته الي نفسه في كل مره سوف تري نفسك سئ عندما تفعل شئ لا يرضي نفسك ربما يرضيها في وقت الفعل نفسه لكن بعدها حين تحلل الأمر بشكل فطري سوف تعلم أنه خطأ   المشكله هنا اغلب البشر يفتقدون مهاره التحليل السريع وهي أن تحلل الاشياء بشكل سريع مشكله مثلا او في العمل أو عندما تقوم بفعل شئ انت تكره ولكن يرضيك في هذا الوقت   ربما تذهب عنك هذه النظره اليك لكن قبل اي شيء انظر الي نفسك دائما وقل انا اقوي نا ارضي علي نفسي دائما   اظن انك سوف تتحسن  ,1
ما أضرار عصير البرتقال ,0,أضرار عصير البرتقال هناك بعض الأضرار من كثرة تناول عصير البرتقال  وهي كما يلي للمزيد  ,1
هل يمكن لأحد أن يفيدني بخصوص عملية المنظار لغضروف الركبة  هل فيها خطورة أم ماذا ,0,السلام عليكم ورحمة الله وبركاته عملية المنظار لغضروف الركبة بسيطة و ليست خطيرة لذا لا تخف أصلا العملية تدوم من 30 الى 45 دقيقة كأقصى تقدير و البنج يكون فقط للنصف السفلي من الجسم  و فترة النقاهة لا تتجاوز شهر و ستعود كما كنت أو أحسن شفاك الله ,0
ما هي أسباب عدم امتصاص الجسم للحديد ,0,هناك هرمون زائيد عندك مثلا الانسولين بالدم ,0
ما هي أهمية شرب الماء قبل النوم ,0,شرب الماء علي العموم له فوائد كثيرة   يمكنك أن تطلع عليها أو يكون لها نقاش منفصل   و لكي أكون حريصا علي الإجابة في محور و صلب السؤال سأكتفي بإيضاح أهمية الشرب قبل النوم بداية   حتي تكمل الافاده فشراب الماء يكون في وقت النوم عموما و ليس قبله مباشرة    فالشراب مباشرة قبل النوم يسبب إضطرابا في فترة النوم نفسها و يسبب الاستيقاظ المتكرر للتبول و ذلك ما يسمي   nocturia     فيجب عليك ألا تشرب كمية كبيرة من الماء قبل ساعتين من النوم نفسه    خصوصا مع تقدم العمر   يصاب الرجال بتضخم البروستاتا و زيادة الانقباضات بعضلات المثانه فتسبب الأرق و الاستيقاظ الليلي المتكرر فيأكد عليه الأطباء الامتناع عن شرب الماشرب الماء علي العموم له فوائد كثيرة   يمكنك أن تطلع عليها أو يكون لها نقاش منفصل   و لكي أكون حريصا علي الإجابة في محور و صلب السؤال سأكتفي بإيضاح أهمية الشرب قبل النوم بداية   حتي تكمل الافاده فشراب الماء يكون في وقت النوم عموما و ليس قبله مباشرة    فالشراب مباشرة قبل النوم يسبب إضطرابا في فترة النوم نفسها و يسبب الاستيقاظ المتكرر للتبول و ذلك ما يسمي   nocturia     فيجب عليك ألا تشرب كمية كبيرة من الماء قبل ساعتين من النوم نفسه    خصوصا مع تقدم العمر   يصاب الرجال بتضخم البروستاتا و زيادة الانقباضات بعضلات المثانه فتسبب الأرق و الاستيقاظ الليلي المتكرر فيأكد عليه الأطباء الامتناع عن شرب الماء قبل النوم بعدة ساعات و يمتنع عن شرب السوائل المسببه لزياده معدلات تكوين البول   الكافيين   القهوة   الشاي   الصودا       لذلك قضية شرب الماء خصوصا قبل النوم مباشرة من الموضوعات المختلف عليها كقاعدة عامة   و ينبغي النظر لظروف كل شخص كل علي حده لمعرفة التفاصيل الطبية الأخري التي قد تجعل ما يناسب غيره لا يناسبه   أما شرب الماء في وقت النوم عموما و خصوصا الماء البارد   فإنه يرخي العضلات و يزيل التوتر و يهدئ الأعصاب و يزيد من إفراز هرمونات السعاده التي تسبب نوم هادئ مستقر    غير الفوائد العامه كالمساعدة علي الهضم و تعويض ما يفقده الجسم من الماء في التعرق و خلافه أثناء فترة النوم و تقلل من المغص ,0
ما أعراض ضيق الشعب الهوائي ة ,0,أعراض ضيق الشعب الهوائي ةهناك مجموعة من الأعراض والعلامات التي قد تظهر على المصاب بتضي ق الشعب الهوائي ة  ويمكن إجمال بعض منها على النحو الآتي راموس المصري Ramos Al Masry   أخبار Google,0
لماذا ينصح الأطباء بالنوم 8 ساعات  يعني ثلث اليوم والليلة والثلث كثير ,0,نعم كثير ويمكن انجاز الكثير بهذا الوقت ولكن الراحة الجسدية ضرورية من اجل تنشيط العقل وعدم الشعور بالارهاق والتعب من قلة النوم,0
ما هي طرق فتح الشهية ,0,للمزيد  ,1
بماذا تنصحني لكي أقضي على دهون البطن في فترة قصيرة  مع العلم أني مصاب بالقولون العصبي ,1,عندي نفس مشكلتك  لكن كان لي تجربه ناجحه وجيده جدا مع النظام الغذائي  كيتو دايت  وكان له نتائج سريعه ومبهره سواء للقضاء على دهون البطن او راحتي من أعراض القولون العصبي  ,1
ما أسباب التهاب اللثة ,0,أسباب التهاب اللثة للمزيد 3 أسباب وجيهة لتنظيف أسنانك بزيت جوز الهندلماذا أحتاج إلى تنظيف أسناني وما بينهما 10 أخطاء في تنظيف أسنانك لم تكن تعلم أنك تفعلها8 أغذية خارقة لتقوية الأسنان ومنع تآكلها17 طريقة طبيعية لعلاج التهاب اللثة لم تكن تعرفها,0
اعاني من الم شديد في الرقبة ما السبب وماذا افعل ,0,قد يعود الألم للأسباب التالية1  بسبب الوسادة المستعملة في النوم أو ربما تنام من دون وسادة فاستخدمها وإن لم تكن مناسبة غيرها عند النوم شرط أن تكون رطبة وغير عالية ومناسبة للعمود الفقري2 تجنب أن يتخذ جسمك حرف F وقوفا وجلوسا تقبض الهاتف وتنحني عليه برأسك لتصفحه طويلا3 إنتبه للكرسي الذي تجلس عليه فقد يكون سببا في الشعور بألم حادة في الرقبة والظهر4 أحيانا يكون بسبب بداية مرض مزمن يصعب علاجه بسرعة في حالة لم تزر طبيبا في أول الأمر قهو إذن يحتاج إلى تدخل طبيب مختص في العظام والعمود الفقري لتشخيصه وهو مرض يجعل الدماغ يقرأ فقريات الرقبة على أنها تابتة كعظم واحد وغير قابل للحركة والدوران وفي هذه الحالة قد يعود الألم للأسباب التالية1  بسبب الوسادة المستعملة في النوم أو ربما تنام من دون وسادة فاستخدمها وإن لم تكن مناسبة غيرها عند النوم شرط أن تكون رطبة وغير عالية ومناسبة للعمود الفقري2 تجنب أن يتخذ جسمك حرف F وقوفا وجلوسا تقبض الهاتف وتنحني عليه برأسك لتصفحه طويلا3 إنتبه للكرسي الذي تجلس عليه فقد يكون سببا في الشعور بألم حادة في الرقبة والظهر4 أحيانا يكون بسبب بداية مرض مزمن يصعب علاجه بسرعة في حالة لم تزر طبيبا في أول الأمر قهو إذن يحتاج إلى تدخل طبيب مختص في العظام والعمود الفقري لتشخيصه وهو مرض يجعل الدماغ يقرأ فقريات الرقبة على أنها تابتة كعظم واحد وغير قابل للحركة والدوران وفي هذه الحالة ستلزمك الألام عند المعادرة للنوم وبعد الإستيقاظ وإثناء العمل  ,0
لماذا قشرة الشعر تتسبب فى الشعور بحكة قوية فى الرأس ,0,ليس القشرة هي المسببة للحكة السبب يأتي من أوساخ الشعر   الشعرة المكسرة والضعيفة التي تفتقد إلى بروتينات والفيتامينات من جراء الأكل الغير الصحي أي من الداخل وليس من الخارج وهذا هو سبب تساقط الشعر زيادة على ذالك إنتاج القشرة يساهم فيه بشكل كبير تغيير الشمبوهات المصنعة بمواد كيماوية وابتعادنا عن ماهو طبيعي  ,0
ما أضرار الترمس ,0,أضرار الترمس راموس المصري Ramos Al Masry   أخبار Google,1
ما هي أهم أسباب كثرة النوم ,0,أسباب كثرة النوملعلاج كثرة النوم يجب معرفة اسبابه  وهنا بعض أسباب كثرة النوم للمزيد  ,1
هل الأفضل دراسة الصيدلة بالجامعة البريطانية بمصر أم الطب بالجامعة الأهلية بالمنصورة الجديدة بمصر  مع العلم أن في حالة الصيدلة قد انتهيت من سنتي الثانية ولكن سأضطر لإعادة السنة من جديد  لكن بحالة الطب سأبدأ من أول سنة  وأنا عمري 21 عاما  ,1,لا يهم ماهو التخصص وما يجب ان تفعلي حتى تغيري التخصص المهم ان تختاري ما تحبين لتكوني قادرة على الدراسة بشغف والعطاء بلا حدود والاحساس بالسعادة لانك تفعلين ما تحبين  لو اضعت سنة او سنتين او حتى خمس في شي لا تحبينه لن يجدو ان تعيشي كل عمرك في فعل ما يترتب على قرارك   قد تملين وتتركين المجال بعد سنوات لانك في الاساس لاتحبينه  فافعلي ما تحبين مازلت في مقتبل وضياع بعض سنين افضل من ضياع العمر كله,1
ما أسباب الشخير ,0,أسباب الشخيرللمزيد  ,1
ما هي الأضرار الحقيقية للعادة السرية والأفلام الإباحية على لاعبين كرة القدم  وهل أستطيع أن أصبح لاعب محترف إذا كنت ألعب وأمارس العادة السریة ,0,سميت العادة السرية بهذا الإسم لأن صاحبها يعتاد عليها سرا ويخشى مايخشاه أن يفضح بين الناس وخصوصا والديه بغتة وإذا ماوقع ذالك فإنه يصغر في عين من باغته ولكن لايخاف أن يفضحه ربه ناهيك على أنه يجعل ربه أهون الناظرين إليه   حبذا لو تعبد ربك خالصا لوجهه الكريم دون الحاجة لمعرفة الأضرار من باب العلم فإن الله لما يحرم عليك شيئا ما فمعنى ذالك أنه فيه أضرار لك وليست في صالحك لأنك لو بحثت عن الأضرار الجسدية والنفسية للأثار الجانبية التي تسببها العادة السرية فإنني أخشى عليك أن تتقيها هي بالذات بعد معرفة أضرارها ولم تتقي ربك فيها بعدما نهاك عنها فيذهب عنك الإخلاص لربك وهذا شرك يقع فيه الإنسان دون أن يدري وكأنه وقع في عبادة الناس أو في عبادة النفس فهناك العديد من الناس من لايصلون ولايتضوؤون وكثير منهم يضلون جنبا ولايتطهرون إلا بعد مدة طويلة من دون عذر سوى لأنهم لايصلون   فلما علموا أن الوضوء والصلاة هو بلسهم الوحيد للشفاء من أمراضهم هرعوا إليها حبوا ليس طاعة لربهم وطمعا في رضاه ورحمته وإنما للتخلص من امراضهم فحسب ولكن بالرغم من هذا وذاك فمنهم من هدى الله بعدها لأنه يرغب في الهداية ومنهم من عاد إلى ضلالته لأنه ألفها ولايستطيع فراقها بحسب زعمه لقول الرحمن جل في علاه   ولابأس من بعض أضرارها العضوية والنفسية1 دخول البرد عند الخضخضة والخضخضة معناها حركة اليد ذهابا وإيابا للإستمناء فعند الإياب يدخل نسبة من البرد إلى القضيب فيتسبب في كسره عند الإنتصاب كعمود به شقوق عميقة لايزال ملتصقا ببعضه ولكنه لم يعد ينفع ليكون عمودا للسقف أو الكراسي أو الموائد أو ماشابه باعتباره ضعيف ولن يتحمل الثقل وهذه بداية الضعف إلى أن يشتكي صاحب العادة من الضعف التام وعدم القدرة على الإنتصاب والإيلاج عند الجماع ناهيك على أن الحيونات المنوية تتشوه وهذا يساهم في تشوه المولود إن كان هناك حمل من اصله أو تموت فلا تكون لك القدرة على الإنجاب وبالتالي فالمرء هنا لاينفع كزوج بعد زواجه لأنه لن يستطيع أداء حق الزوجة كما يجب وقد يؤدي هذا السبب إلى الطلاق التام والتام هنا هو الذي لايكون رجعيا البتة  2 السبب الثاني يساهم بشكل كبير في مرض النسيان المبكر ويكون ذالك في فترة الشباب أقول مرض النسيان وليس الزهايمر أي أن صاحب العادة تضعف ذاكراته بأكثر ماتتصور وقد يخسر بذالك ملكة حفظه إن كان يكتسبها اصلا ورأيت هذ النوع من الأمراض لدى العديد من الشباب وقصة حقيقية وقعت لصديق لي هنا في الدار البيضاء إبان ثلاثنياته حيث أن أحد أصدقائه مر عليه بدراجة نارية وطلب منه ان يرافقه لقضاء بعض الأغراض في مكان بعيد فكان له ماأراد لما وصلا إلى المكان المعلوم نزل صديقي المصاب بهذا المرض من الدراجة النارية وطلب من السائق الإنتظار قليلا ليعودا معا فكان له ذالك وما إن لبث أن دخل إلى أحد المركبات التجارية وقضى أغراضه كلها ثم خرج من الباب الخلفي وأخذ طاكسي صغير وعاد إلى بيته بعد العصر بقليل ونسي تماما أن هناك من لايزال ينتظره بصحبة دراجته ولم يتذكره إلى في العاشرة ليلا لما اتصل به صاحب الدراجة ليذكره بما وقع وأخذا ضديقي يضحك لما وقع له بسبب نسيانه الشديد وذات مرة أيضا كان بضيافتي في بيتي ليلا وعندما اقترب وقت انصرافه حكى لي طريفة فأخذنا نضحك معا وعندما غادرنا البيت أخذ يحكي لي نفس الطريفة فذكرته أنه قد حكاها لي قبل ساعة ولكنه لم يتذكر البتة   فماحكيته هنا لأبين للمارين أنه ليس زهايمر ولكنه مجرد نسيان تام يصيب صاحب العادة القبيحة إبان شبابه  3 يساهم في ظهور تقوس طفيف على الظهر عند الشباب4 الذين لايصلون وبعيدون عن ربهم ويتماطلون في الغسل من جنابتهم يتعرضون للمس الشيطاني وأغلبهم يكون من إناث الجن العاشقهذا مافي جعبتي من أضرار والله تعالى أعلى وأعلمأما دليل تحريم العادة السرية فقد وردت أية في سورة المؤمنون وهناك أحاديث أخرى أترككم معها في هذه الفتوى,1
ما هي أفضل طريقة للتخلص من ندبات حب الشباب في شهر أو أقل ,0,الماسكات والسيرومات,0
ما هي العوامل التي تعرض الشخص للإصابة بحصوات المرارة ,0,العوامل التي تعرضك للاصابة بحصوات المرارةللمزيد  ,1
كيف أعالج نزول دم من حلمة الثدي ,0,الحل هو مراجعة طيبية تخصص نسائية وهي سوف تشخص حالتكي و توصف العلاج اللازم,0
كيف أتخلص من إدمان الوجبات السريعة والخفيفة والمقبلات ,0,السلام عليكم بتعويضها بوجبات صحية لذيذة  دائما حينما نقول بأن علينا اتباع نظام غذائي صحي ف كل مايتبادر الى الذهن هي اكلات ن  جبر عليها  ويكون طعمها سيئا  غالبا  للذي لم يعتد عليها بعد   ولكن هنالك الكثير من الوجبات الصحية واللذيذة  انا فقط تحتاج ارادة    وايضا  ابحث كثيرا عن مضار هذه الوجبات  قد تشعر بالحزن على تلك الفترة التي اضعت صحتك فيها   ,1
ما هي الحالات التي يكون فيها شرب الماء ضارا  من الناحية الطبية ,0,١٢ كذلك في حالة وجود عملية تحتاج الي تخدير فيمنع شرب الماء قبل العملية لانه قد يسبب تقيء و يعنل على انسداد المجرى التنفسي٣ و في حالة كون الماء غير نظيف تماما فان شرب كميات كبيرة تزيد من خطر انتقال الامراض٤ و ان شرب الماء بكميات اكثر من المطلوب تودي الى حالة تسمى بتسمم بالماء حيث يحدث تغيير في اوزمولارية الدم و تغيير في تراكيز الصوديوم و البوتاسيوم و غيرها من الشوائب في١٢ كذلك في حالة وجود عملية تحتاج الي تخدير فيمنع شرب الماء قبل العملية لانه قد يسبب تقيء و يعنل على انسداد المجرى التنفسي٣ و في حالة كون الماء غير نظيف تماما فان شرب كميات كبيرة تزيد من خطر انتقال الامراض٤ و ان شرب الماء بكميات اكثر من المطلوب تودي الى حالة تسمى بتسمم بالماء حيث يحدث تغيير في اوزمولارية الدم و تغيير في تراكيز الصوديوم و البوتاسيوم و غيرها من الشوائب في الجسم,0
