Question,Subj_Q,Answer,Subj_A,Domain
السلام عليكم أنا أخوكم ليث من سوريا وعمري 18 صرلي سنة بحاول اشتغل على الانترنت بس دائما يطلعلي عوائق واغلب الطرق تحتاج رأس مال ، صرلي فترة بتابع عالم بتحكي عن التداول وحبيت هالشي بس المشكلة انها تحتاج رأس مال بقى اذا حدا فيه يساعدني ولو بمبلغ بسيط؟,0,اخي اولا الفشل يبدأ عندما تاتي الى موقع عام لتطلب المال وايضا للتداول ، الواضح انك خسرت كل اموالك في التداول وتحاول بشتى الطرق ان تعوض ، ليس عقلك الذي يديرك الان بل غريزتك ، اترك هذا الموضوع فهو موضوع خاسر ، و ٩٥% من الناس تخسر اموالها في هذا العالم ، اما ال ٥% الاخرين فهم ليسوا عرب .فتش عن عمل حقيقي واترك طلب المال من الناس.,1,سوفا
هل يمكنني الربح من كورا Quora؟ وما هي الشروط؟,0,أطلقوا مؤخرًا برنامج شراكة. يسمح هذا البرنامج للأشخاص الذين يطرحون أسئلة كسب المال على Quora بناءً على جودة الإجابات، ويفترض، حركة المرور التي تكتسبها الصفحة.يجبييجب عرض المحتوى الخاص بك بأكثر من 100000 مرة في النظام الأساسي للحصول على دعوة للانضمام إلى البرنامج في عام 2020.يجب عرض المحتوى الخاص بك بأكثر من 100000 مرة في النظام الأساسي للحصول على دعوة للانضمام إلى البرنامج في عام 2020.جبيجبيجب عرض المحتوى الخاص بك بأكثر من 100000 مرة في النظام الأساسي للحصول على دعوة للانضمام إلى البرنامج في عام 2020. عرض المحتوى الخاص بك بأكثر من 100000 مرة في النظام الأساسي للحصول على دعوة للانضمام إلى البرنامج في عام 2020.,0,سوفا
تعلمت اساسيات الفوركس، ماهو الخطوة الثاني لتعلم التحليل لا اعرف من اين ابدا ارجو ان تساعدوني؟,0,في قناتين علي اليوتيوب مهمين جداالاولي treading by yasinالثانيه اسمها العلم لايعرف الكذبتابعهم سوف تستفاد جدابالتوفيق,0,سوفا
ما هي الطرق الشائعة لكسب المال عبر الإنترنت؟,0,هناك العديد من الطرق الشائعة لكسب المال عبر الإنترنت، بما في ذلك:,0,سوفا
كيف يمكن للشخص بدء مشروع لكسب المال مختلف عن مجال دراسته ؟!,0,هل تعلم ان ٧٠ % من الناس يعملون في مجالات غير دراستهم ، السبب بسيط عندما دخلت الجامعة كان لا يزال عمرك ١٨ سنة ولم تكن تملك التجارب والنضج مثلا في ال ٣٠ من العمر ولذلك الكثير من الناس يعملون في مجالات مختلفة عن دراستهم بعد اكتشافهم وفهمهم للحياة .اما ما هو المشروع ؟ هذا انت تحدده .. فتش عن ماذا تحب وابدأ ، ولكن بالمجمل الان كل شي يتعلق بالاونلاين والبرمجة والتطبيقات والسوشال ميديا هو مشروع مربح ، فقط عليك التمييز,0,سوفا
"اريد اتعلم البرمجة ولكني لست ممتاز في الانجليزية وحاولت ابدا في كورس CS50 بس اعاني من صعوبة في الفهم بكلامه , هل فيه مصدر عربي ممتاز في شرح الاساسيات من الصفر حتى بعدها اختار مجال من مجالات البرمجة المعروفة ؟",1,السلام عليكميوجد دورة cs50 مترجمة للعربيويوجد أيضا من قام بإعادة شرحها بالعربيبالتوفيق,0,سوفا
فضلا ..أريد حاليا برمجة نظام إدراة المحتوى (CMS) ،كيف ابدأ ذلك ومن اين ابدأ وما الادوات واللغات التي سوف احتاجها وهل هناك خطط يمكنني السير عليها حتى إنجاز الهدف ؟؟ ,0, نظم ادارة المحتوى المهمة ثلاثة وهي ووردبريس وجوملا ودروبال وهم حاليا ليسوا نظم ادارة محتوى فقد تعدوا ذلك بمراحل. ,0,سوفا
ماهو افضل طرق الربح في مجال الاستثمار؟,0,إليك بعض الطرق الشائعة والأشهر لربح المال من الاستثمار:ملاحظة: لا يوجد طريقة آمنة للربح 100% وكل الاستثمارات تحمل مخاطر. من المهم أن تكون متواضعاً في تحديد الاستثمارات المناسبة لمتطلباتك وتحليل المخاطر جيداً.,1,سوفا
هل يجب أن أكون متقن للرياضيات لأكون مبرمج؟,0,لا تحتاج الى اتقان الرياضيات لتصبح مبرمجاً. ليس كل المبرمجين قد اتقنوا الرياضيات، لكن احتمال في بعض الأحيان قد تحتاج الى الرياضيات إذا طُلب منك حل المسائل الرياضية ولكن ذلك لا يعيقك في تعلم البرمجة ومن الممكن أن تستشير اختصاصيي الرياضيات لتقديم المشورة لك…,1,سوفا
ما الفرق بين css و ui design؟,0,الفرق هو أن CSS هي لغة تنسيق تستخدم في تطوير واجهة المستخدم User Interface design. وهي تساعدك في تحسين قابلية الوصول واستخدام الصفحات أو المستندات بتغيير الألوان والخطوط وتخطيط هذه الصفحات.,0,سوفا
انا ارغب ان اتعلم البرمجة ولكن لا اعرف من اين ابدأ وكيف ؟ اني شغوف جدا لأتعلمها واتقانها,1,ادخل على موقع gmmal tech ولكنه سعره غالي شوي اذا اردت التسجيل فيه اخبرني حتى نتقاسم المبلغ معا اذا امكن,0,سوفا
ارغب في تعلم لغات البرمجة ولكن لا اعلم من اين ابدا وكيف ؟,1,السلام عليكم ورحمه الله وبركاتهأنصحك تتفرج على الفيديو دهأن شاء الله البشمندس هيبدٱ كورس كمبيوتر ساينس يوم 21/1/2023بالتوفيق للجميع,0,سوفا
ما الفرق بين ال struct و ال class في لغة C++؟ بالتفصيل رجاءً…,0,ال struct مأخوذة من كلمة ال structure وتعني هيكل وكانت تستخدم في لغة ال C وخاصة بهيكلة البيانات data structure ويستخدم لتجميع مجموعة من البيانات ككتلة واحدة وفي مكان واحد والتي لها علاقة بشخص أو شيء ما. على سبيل مثال وليس حصراً كل انسان يمتلك مجموعة من البيانات مثل الاسم والمواليد والعنوان والدرجة الوظيفية ورقم الهاتف ومقدار الراتب وهكذا تستطيع ان تضعها ككتلة واحدة وفي موقع واحد وتسمية واحدة، وتستطيع ايضاً أن تستنسخ منها العديد وحسب الحاجة ويعتبر من البيانات المعرفة من قبل المستخدم لأن المستخدم user يضع فيها ما يشاء من أنواع البيانات ومن ثم يستخدما ولم تكن ال struct تحتوي على الدوال ال functions. ولكن بعد تطوير لغة ال C الى ++C في أوائل ثمانينيات القرن الماضي تم استحداث ال Class من فكرة ال structure بعد امكانية إضافة الدوال (functions) اليها من قبل مخترع ال ++C الاستاذ Bjarne Stroustrup. يعتبر ال Class العنصر الاساسي في برمجة الأشياء Object Oriented Programming وأختصاراً تسمى ب (OOP) وبعد إضافة امكانيات جديدة أخرى على لغة C حينها سمي ب ++C كونها عندها ضعف امكانية لغة C. بالتأكيد هذا الموضوع واسع ومتشعب جداً وهذه تعتبر أحدى طرق برمجة حديثة وكفوة من كل النواحي مثلاً من حيث توسيع البرنامج أو تقليصها او ايجاد أخطاء فيها أو أضافة برامجيات اليها من برامج أخرى ومن حيث الورثة او الصداقة بين البرامج أو بين أجزائها وسهولة فهمها وقرائتها وتطويرها. وهي بالحقيقة ان هذه البرامج يتعامل مع الأشياء كما يتعامل البشر مع ما يحيط به من الاجهزة والمعدات والالات ومع اشخاص آخرين. حقيقةً ان فكرة فلسفة البرمجة بطريقة ال (OOP) هي مأخوذه من هذه الفلسفة (فلسفة كيف البشر يتعامل مع ما يحيط به من الأشياء بالضبط).,0,سوفا
ماذا أفعل لأجني المال عن طريق النت وأنا مازلت أدرس (مجالي الفيزياء والكيمياء) ، أصبح الدولار في زيادة يومية ما المهارات الواجب تعلمها ؟,1,اذا كنت شاطرة في مادة كيمياء أو فيزياء يمكنك عمل كورسات فيهم سواء في المنزل او في مدرسة خاصة بالكورسات وحتي في فيس تقدري تنزلي في صفحات وتعطي اونلاين في فيس.او تعلمي ادارة محتوى او برمجة من النت ومجالين هادو تقدري تخدمي بيهم من المنزل.,0,سوفا
هل استخدم الابتوب وهو متصل بالشاحن علما ان البطارية لا يمكن إزالتها يأثر على البطارية ؟ وهل من نصائح كيف يمكنني التعامل مع شحن الابتوب,0,واجهتني مشاكل سابقا مع بطارية الابتوب، من أفضل عدم شحن بطارية الابتوب بنسبة 100% ولاتترك الابتوب في الشاحن دائما لأن هذا يظر بالبطارية.,1,سوفا
ما رأيك في ChatGPT الذي تم اطلاقه في نوفمبر الماضي من شركة OpenAi وهل ذلك يشكل خطر على المبرمجين أم يساعدهم ؟ مع أن النسخة التي تم اطلاقها حاليا تجريبية وقيد التطوير، ومامدى تأثير ذلك في السنوات القادمة على مختلف مجالات الحياة على حد سواء؟,0,سوف أقول سوى وجهة نضري المتواضعة بنسبة لي كدارس للامن السيبراني ومطور(هاوي) لاحظت أن ChatGPT قد اختصر علي العديد من الخطوات والوقت الكثير الذي استنفذه في البحث عن كيفية عمل أداة ما بشكل مفصل.أما تاثيره على المبرمجين فهو مثل ما قلت في السابق يعود بالنفع على المطورين ولا يشكل اي خطر لأنه ببساطة عمل المبرمج ليس فقط كتابة Code وإنما كتابة ال code هو جزء من البرمجة وليس كل البرمجة .أضن أن كثير من محركات البحث إن لم نقل كلها سوف تُستبدل بChatGPT لأنه يعطي اجابة واضحة وعادة ما تكون كافية وإن ام تكن كذلك فقط يمكنك الضغط على اعادة التحرير وسوف يحرر اجابة ولكن يضيف اشياء لم يذكرها اوينقص اشياء .على العموم سوف تكون قفزة كبيرة في تطور التكنولوجيا والإعلام .صححو لي أخطائي ان اخطأت وضيفو لي أشياء لا أعرفها.,1,سوفا
هل أحتاج لتعلم او استخدام البرمجة كمبيوتر مزود بانترنت، بمعنى هل يجب أن يكون في الكمبيوتر انترنت كي أستطيع تعلمها أو يعني استخدامها، أو البرمجة لا تحتاج كمبيوتر فيه انترنت لاستخدامها او تعلمها؟,0,لا تحتاج انترنت الا فقط فى البحث او تسطيب لغة البرمجة اما بعد ذلك تعمل offline وترجع للانترنت فى البحث عن حلول المشاكل البرمجية وتنزيل الكتب فقط,0,سوفا
لو بدأت بتعلم البرمجة اليوم، كم أحتاج من الوقت لكي أستطيع العمل بها وكسب المال؟,0,أبدأ بس الأول والباقى على الله,0,سوفا
أنا لدي مهارة برمجية وأطور فيها، إذا كنت أريد أن أتطوع في تعليم البرمجة أثناء رحلة تعلمي، كيف يمكنني القيام بذلك؟ أريد ترك أثر إيجابي على الناس.,0,أنا بتعلم برمجة فى جزئيات بكون محتاجة حد يساعدني فيها,0,سوفا
"كيف يمكن كتابة كود بدون استخدام المصفوفات ""Arrays"" أو السلاسل ""Strings"" حيث يقوم هذا الكود باستقبال عدد ورقم وبعدها يضيف فواصل على حسب الرقم المدخل، مثلاً العدد ""12345678"" رقم ""3""، الناتج ""12,345,678""؟",0,لكنك لم تحدد اللغة البرمجيه لكتابة الكود,0,سوفا
عايز اعرف كل حاجه عن اللاب ده و هيقدر يشغل العاب اي و برامج اي و كارت الشاشه كام و ينفع للبرمجه و كل حاجه احبائي ف الله ؟؟,1,لماذا لا تبحث بنفسك عن specific تريد احد غيرك ان يعمل لك. ابحث بنفسك. تعلم كيف تكتب عربي و English.,1,سوفا
هل أستطيع تعلم البرمجة والموشن جرافيك بنفس الوقت في مدة لا تزيد أقصاها عن شهرين أو ثلاث أشهر؟,0,يؤسفني ان اقول لك من المستحيل فعل هذا بالاخص البرمجة ممكن تتعلم اساسيات البرمجة ومن الافضل ان تركز في مجال واحد لكي تبدع فيه ولا ترهن نفسك بالوقت,1,سوفا
إذا كان لدي على سبيل المثال موقع مثل اليوتيوب، فكيف يمكنني السماح للتطبيق بمنح المستخدم نسبة من الأرباح من الإعلانات، والتطبيق نسبة أيضًا؟,0,لكل تطيبق شروط حتى تبدا الربح فمثلا يوتيوب يجب ان تحقق عدد مشتركين في القناة و عدد ساعات المشاهدة … انظر لشروط للتحقيق ارباح اليوتيوب او اي تطيبق ثاني على فيديوهات في اليوتيوب,0,سوفا
عمري الآن 32 عام وبدأت في تعلم البرمجة، بدأت بلغة ++C ولكن لم أكملها لصعوبتها، كنت خائف أن أتعقد وأكره البرمجة، حالياً أدرس HTML و CSS وأحس أنها ممتعة، بماذا تنصحوني؟ وهل عمري سيكون عائق في حياتي العملية؟,0,أنصحك بعد ذلك ببايثون Python ستجدها أكثر امتاعاً لقد بدأت أتعلمها وأنا فى 44 عام بعد أن كنت منكباً على فيجوال بيسك منذ عقود. والآن الافاق مفتوحة مع بايثون فى مجالات كثيرة وشيقة مثل(الروبوتات - الذكاء الاصطناعى - تحلبل البيانات - تعليم الآلة وغيرها),0,سوفا
اريد افضل معالج للجهاز بهدف تشغيل الالعاب بأداء جيد بميزانية لا تتجاوز 1500 جنية ؟,0,لا طريقة,1,سوفا
ما هي أفضل المصادر العربية لتعلم جافا؟,1,راكون … شرحها في ١٠٠ دقيقة فقطايضا المهندس اسامة الزيرو,1,سوفا
بماذا يفيدني كورس CS50؟ أنا أتعلم لغة جافا وأدرس الأمن السيبراني، هل أكمل كورس CS50 أم أنتقل مباشرةً لتعلم لغة الجافا؟,0,الفكرة في الكورس أنه بيكون مقدمة أو تمهيد لدراسة البرمجة هيطور فكركللاسف أنا بدأت به ولم اكمله بسبب دراسة الكلية فلن استطيع ان اعطيك تجربة كاملة عنه لكن سوف اذكر ما قاله عنه من درسه أنه بدأ دراسة لغة برمجة اولا لكن رجع لدراسة كورس CS50 مرة أخري.فدراسة لغة برمجة خطوة مهمة وبداية لتعلم لغات أخري وبداية تعلم مسار برمجي مثل الذكاء الاصطناعي والأمن السيبراني وغيره من مجالات البرمجة وفعلا لغة جافا من افضل اللغات لبدا تعلم البرمجة فهي احد ٣ لغات يبدأ دراستها في الجامعات لتخصص علوم حاسب فمثلا بعض الجامعات تبدا(بلغة بايثون وجامعات أخري تبدأ بلغة جافا وجامعات أخري ب c++) مهما كانت لغة البرمجة التي تبدأ بها من ٣ يجب أن تبدأ تمهيد لنفسك عن المجال وهنا يأتي دور كورس CS50 قبل أن انقل لك راي مبرمج محترف في كورس CS50انصحك بمشاهدة فيديو التاليو هذا رابط مقال لمبرمج بيشرح ايه CS50 وأهميته,0,سوفا
لدي شركة برمجية مختصة بتطوير وتصميم مواقع الويب، كيف يمكنني الترويج لخدمات الشركة؟,0,اولا عليك كتابة مقال يتصدر محرك البحث في جوجل بمساعدة اداة Guinrank احسن اداة بل الاولى فالعالم لمزيد من المعلومات سجل على الرابط يوجد خطط مجانية وخطط مدفوعة سنوية وشهرية,0,سوفا
انا بدي اتعلم هكر الاخلاقي لكن مشكله وحيده عائق لي هو برمجه شاهدت اكثر من كورسين واحد بايثون وثاني ++c وانا اشاهد ما فاهم يكتب عمليه حسابيه او يقول الكومبيوتر هلو بس بدي افهم كيف راح تفيدني في هكر الاخلاقي بدي تعطوني طريق امشي علي وشكرا؟,1,"اخي لازم أولا تعرف اساسيات هذول اللغات وبعدين تشاهد كورسات كيفية استعمال لغتي البرمجة ( c++ , python ) في أمن المعلومات او الهكر الأخلاقي والاحسن تكون كورسات أجنبية هيك راح تتعلم لأن المجال عميق جدا مجال أمن المعلومات ومجال البرمجة فاتعلم الاساسيات وبعدها كورسات كيف تحتاجها بامن السيبراني",1,سوفا
كيف أستغل الوقت الذي سأبقى فيه في المنزل علماً أنني ربما سأترك سنة دراسية كاملة لأسباب شخصية فأردت طلب المشورة منكم؟ يرجى اقتراح أي شيء سوى تعلم لغة جديدة لأني أفعل ذلك بالفعل.,1,أختر أحد هذهِ المجالات تفيدك وتنفعك وما تكلف واغلبها مجانية وبالمنزل,0,سوفا
انا طالب في المرحلة الثانوية احب البرمجة وعلوم الحاسوب وبالأخص الذكاء الاصطناعي لكن عائلتي يجبروني على تخصص الطب مع اني لا احبه ولا اجد نفسي في هذا المجال ماذا افعل؟,0,اتبع شغفك أنت وميولك.. لا تجبر نفسك على دراسة تخصص لا تريده لأنك ستواجه ضغط وصعوبة في التأقلم فيه .. بالتوفيق,1,سوفا
ما هي أفضل مجالات البرمجة التي يمكنني تعلمها بنفسي من الصفر وبها فرص عمل متوفرة وذات دخل عالي بعد تعلمها والعمل بها؟,0,بنصبة لي لغة بايثن لانها سهلة على مبتديئين وطلب عليها مرتغع,1,سوفا
أريد أي يكون فريق عربي مكون مبرمجين مسوقين مصممين و مصورين نتبادل الخبرات والمعلومات ونعتند علي الدكاء الجماعي لمن يريد يرسل لي رسالة عبر الواتساب 212704873450+ ؟,0,انا ما عندي خبره بس مبتداه عايزه اتعلم لو ممكن,0,سوفا
لدي قناة يوتيوب وقمت بشراء أدوات التصوير وأقوم بتجهيز محتوى الفيديو بالبحث عن المعلومات في الكتب ودراستي وتلخيص الكتب وأنا أقوم بالظهور وتقديم المحتوى للناس، ولديّ صديق يقوم بمونتاج وتصميم الصور المصغرة، فكم نسبة الربح التي أعطيه إياها؟,0,أعرف يوتيوبر مغربي من أحد مدن الصحراء في جنوب المغرب لايتجاوز سنه 24 سنة كان صغير السن ولديه أخ يساعده أصغر منه سنا 19 سنة وهما الإثنين معا منسجمين جدا ومتفاهمين ولايفارق أحدهما الآخر فتعرفت عليهما عبر الواتساب وليس لهما معارف في مدينة الدار البيضاء أنا الوحيد فقط وذات يوم قدموا من مدينة طرفاية إلى البيضاء عبر الطائرة فاستقبلتهم في المطار وبعدها تناولنا وجبة غذاء سمك ثم ضيفتهم في احد أفخر فنادق الدار البيضاء المجاورة لفندق حياة ريجينسي وكان حضورهم بالضبط من اجل محاضرة مدتها 3 أيام في البيضاء لفطاحلة التسويق بالعمولة الافلييت من مختلف الدول المغرب مصر والجزائر كانت قد أقيمت في حياة ريجينسي بالضبط وكانت تذكرة كل فرد 600 دولار .المهم أن هذا اليوتيوبر الصغير لديه العديد من القنوات في اليوتيوب فهو يشتري قنوات مفعلة على خاصية الأرباح مع النيتش الخاص بها يعني محور القناة لايغيره أبدا ويترك ماعليها من فيديوهات مسبقة و لديه أكثر من عشر قنوات أو يزيد لايشتغل فيها ولايضع فيها يديه فهو مستثمر فقط وبعيد كل البعد عن التكنولوجيا الرقمية كالبرمجة والمونتاج وإنشاء تطبيقات أو مواقع كل هذا لايعرف له طريقا لديه موظفو مونتاج ومنشؤو محتوى كمستخدمين على قنواته من كل أنحاء العالم من أمريكا من التايلاند من مصر ومن بعض مدن المملكة في المغرب وكنت شخصيا مكلف بالإدارة المالية للقنوات ومكلف بتسليم الرواتب للموظفين عبر البايبال فكنت أبيع له الدولار مقابل الدرهم المغربي وكانت ثقة كبيرة بيننا والرواتب كانت مسعرة تابتة للكل أيا كانت جنسيته والبلد الذي ينتمي إليه والسعر هو 7 دولار لكل فيديو ب60 دقيقة ويتم الدفع باحتساب ال 60 دقيقة حتى وإن كانت مقسمة فيديوهات كثيرة-فالأمريكي كان يحصد 1500 دولار كل شهر-التايلاندي 1000 دولار كل شهرالمصرية وكانت موظفة كانت تحصد 450 دولاروالمغاربة كانوا 3 أشخاص مابين 450 و600 دولاروالمالك تتبقى له مابين 5000 إلى 9000 دولار من مداخيل الإعلاناتالآن هذا المقاول الرقمي بدأ من يوتيوب ومن مداخيله فتح نادي كمال الاجسام في المدينة وانا شخصيا من تكلفت بإعداد الآلات الرياضية بتنسيق مع أحد الأبطال في التايلاند ومنه بعد ذالك أصبح من كبار مفاولي العقارات في المدينة من خلال مداخيل اليوتيوب فقط والجميل فيه أنه متواضع جدا وخلوق جدا وساتر لنفسه ولايعرفه أحد وغير مشهور ولايحب الشهرة أصلا .وإليك بعض الصور لأثرياء اليوتيوب في العالم,0,سوفا
هل يمكن أن أصبح مبرمج محترف عن طريق دراسة الكورسات أونلاين مع التدريب؟,0,يمكن إلى حداً ما واكن يلزم التطبيق بشكل دائم,1,سوفا
ما هي أساسيات البرمجة؟,0,تصفح قناة programing advices سوف ترشدك الى الطريق الصحيح وتجاوب عن معظم اسئلتك,0,سوفا
